Feature,Importance
wavelet-LHL_glcm_Id,0.0016301244730316455
log-sigma-5-0-mm-3D_glcm_Correlation,0.001628639572305394
wavelet-HLH_glcm_JointEntropy,0.0016230980817137424
wavelet-LLH_gldm_LowGrayLevelEmphasis,0.0016200776448034879
square_gldm_GrayLevelNonUniformity,0.0016166962514051722
wavelet-HHL_glrlm_RunEntropy,0.0016113491851242902
wavelet-LHL_gldm_LowGrayLevelEmphasis,0.0015798899169448927
wavelet-LHL_ngtdm_Coarseness,0.0015736869795847709
original_glrlm_HighGrayLevelRunEmphasis,0.0015694240517658514
wavelet-HLH_glrlm_RunEntropy,0.0015684477287504085
wavelet-LHL_gldm_DependenceNonUniformityNormalized,0.0015604595301044097
log-sigma-5-0-mm-3D_firstorder_Minimum,0.0015358002218791359
original_glrlm_ShortRunLowGrayLevelEmphasis,0.0015321526616955323
lbp-3D-k_firstorder_Mean,0.0015252169198550253
square_firstorder_Kurtosis,0.0015163161716042679
wavelet-LHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.001515535185543384
lbp-3D-m2_glrlm_RunLengthNonUniformityNormalized,0.001512551202084678
log-sigma-4-0-mm-3D_glszm_SizeZoneNonUniformity,0.0015108622707544123
log-sigma-5-0-mm-3D_gldm_DependenceEntropy,0.0015031037836398418
wavelet-LLL_glrlm_RunLengthNonUniformity,0.0014950363837814603
lbp-3D-k_firstorder_Median,0.0014931123255038149
wavelet-HLH_gldm_DependenceNonUniformity,0.0014885118978578684
lbp-3D-k_glszm_LargeAreaEmphasis,0.00148137713198653
log-sigma-2-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.0014675948539747646
wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,0.0014586612035985547
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,0.0014452769937103763
log-sigma-3-0-mm-3D_glrlm_RunEntropy,0.0014443918102331496
wavelet-LHL_firstorder_Skewness,0.0014347292892230312
wavelet-HLH_glcm_MaximumProbability,0.0014189517958558301
wavelet-LLL_firstorder_Minimum,0.0014153664657610898
wavelet-HLL_glrlm_RunVariance,0.0013963257462023685
log-sigma-2-0-mm-3D_glszm_ZoneVariance,0.0013962569225930048
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0013913190965856143
lbp-3D-m1_gldm_SmallDependenceHighGrayLevelEmphasis,0.0013908399430680321
log-sigma-5-0-mm-3D_glszm_SmallAreaEmphasis,0.001390236240134643
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.0013885932476638996
log-sigma-1-0-mm-3D_glszm_ZonePercentage,0.0013878700094357703
lbp-2D_gldm_LargeDependenceHighGrayLevelEmphasis,0.0013772632689641505
lbp-3D-m2_firstorder_Variance,0.0013772361547234595
log-sigma-1-0-mm-3D_firstorder_RootMeanSquared,0.001376991467421227
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.0013769601972536587
wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.0013752465740938507
wavelet-LHL_glcm_ClusterShade,0.001361034178830501
wavelet-LLL_glszm_SizeZoneNonUniformity,0.0013532543352433345
lbp-3D-k_glszm_ZoneEntropy,0.001352935181220109
lbp-3D-k_glszm_ZonePercentage,0.0013522396795095002
wavelet-LHH_glcm_MaximumProbability,0.0013519239966977591
wavelet-HHH_glrlm_ShortRunEmphasis,0.001347084773314659
wavelet-LHL_glcm_Autocorrelation,0.0013469850412101702
wavelet-HHL_glcm_SumEntropy,0.001346967200449167
wavelet-HLH_firstorder_Minimum,0.0013424376088131261
lbp-3D-m1_firstorder_Kurtosis,0.0013298738497770344
lbp-3D-k_firstorder_RootMeanSquared,0.0013209076095653963
wavelet-LLL_firstorder_Energy,0.0013157615546918815
wavelet-LHL_ngtdm_Strength,0.001312765956749448
wavelet-LHH_glszm_ZoneVariance,0.0013127116426366531
square_glcm_Correlation,0.001311344218536974
lbp-3D-m2_gldm_SmallDependenceEmphasis,0.001310708083196044
wavelet-LLH_glcm_ClusterProminence,0.0013008251287770156
lbp-3D-m1_firstorder_Mean,0.0012993099857333329
wavelet-LHH_glcm_MCC,0.0012979994988332353
log-sigma-4-0-mm-3D_glrlm_ShortRunEmphasis,0.0012933210689455574
log-sigma-3-0-mm-3D_gldm_LowGrayLevelEmphasis,0.001281114914405104
lbp-3D-k_glszm_LargeAreaHighGrayLevelEmphasis,0.0012743467176594303
lbp-3D-k_glrlm_LowGrayLevelRunEmphasis,0.0012592307763308374
wavelet-HHH_glcm_SumAverage,0.0012547626610882872
square_glrlm_RunLengthNonUniformityNormalized,0.0012516251480308369
gradient_glszm_ZoneEntropy,0.0012506273293364492
lbp-3D-k_gldm_DependenceNonUniformityNormalized,0.0012446122252286942
wavelet-LLL_firstorder_10Percentile,0.001242975245465694
log-sigma-3-0-mm-3D_glcm_Correlation,0.0012420011330956848
log-sigma-5-0-mm-3D_gldm_DependenceNonUniformity,0.0012379011851495426
wavelet-LHL_glrlm_LowGrayLevelRunEmphasis,0.0012311090898184218
wavelet-HLH_firstorder_Kurtosis,0.0012297089081219693
log-sigma-3-0-mm-3D_glszm_GrayLevelVariance,0.0012180315782602074
